Detalle de causa de TNP,Categoria
Atrapamiento de sarta,Problemas Operativos
Atrapamiento de TR,Problemas Operativos
Cementacion Forzada,Problemas Operativos
"Columna geológica imprevista (asfáltenos, ventana operativa)",Problemas Operativos
Control de pozo,Problemas Operativos
Deslizamiento de cabezal,Problemas Operativos
Evento Geologico No Visualizado,Problemas Operativos
Inestabilidad de agujero,Problemas Operativos
Inestabilidad de agujero ( Colapso),Problemas Operativos
Limpieza de agujero,Problemas Operativos
Pérdida de circulación,Problemas Operativos
Reajuste profundidad empacador,Problemas Operativos
Resistencia,Problemas Operativos
Side Track,Problemas Operativos
Tubería de perforación,Problemas Operativos
Deslizamiento de equipo,Problemas Operativos
Barrenas y molinos,Falla de herramientas y servicios de compañía
Cabeza rotatoria,Falla de herramientas y servicios de compañía
Cabezales,Falla de herramientas y servicios de compañía
Cementación,Falla de herramientas y servicios de compañía
Colgadores de Liner,Falla de herramientas y servicios de compañía
Corte de núcleo,Falla de herramientas y servicios de compañía
Cuchara,Falla de herramientas y servicios de compañía
Empacadores,Falla de herramientas y servicios de compañía
Equipo de control de presión,Falla de herramientas y servicios de compañía
Equipo de introducción de TR/LN,Falla de herramientas y servicios de compañía
Falla Prueba de hermeticidad de Liner,Falla de herramientas y servicios de compañía
Fluido de perforación,Falla de herramientas y servicios de compañía
Fuga en valvula de linea de produccion,Falla de herramientas y servicios de compañía
Grua,Falla de herramientas y servicios de compañía
Grua de compañía de servicio,Falla de herramientas y servicios de compañía
Hermeticidad de TR,Falla de herramientas y servicios de compañía
Herramientas direccionales,Falla de herramientas y servicios de compañía
Junta de BHA lavada,Falla de herramientas y servicios de compañía
Junta de TP Lavada,Falla de herramientas y servicios de compañía
Landing Sub,Falla de herramientas y servicios de compañía
Llaves de apriete,Falla de herramientas y servicios de compañía
MPD,Falla de herramientas y servicios de compañía
Mud line,Falla de herramientas y servicios de compañía
Otros,Falla de herramientas y servicios de compañía
Pez (por desconexión o degollamiento de BHA),Falla de herramientas y servicios de compañía
Registro con tuberia (TLC),Falla de herramientas y servicios de compañía
Registros con cable,Falla de herramientas y servicios de compañía
Retenedor de cemento,Falla de herramientas y servicios de compañía
Sartas y ampliadores,Falla de herramientas y servicios de compañía
Servicios de pesca,Falla de herramientas y servicios de compañía
Silos de cemento,Falla de herramientas y servicios de compañía
Tubería flexible,Falla de herramientas y servicios de compañía
Válvula de circulación de fondo,Falla de herramientas y servicios de compañía
Válvula IRDV,Falla de herramientas y servicios de compañía
Zapata perforadora (CDS),Falla de herramientas y servicios de compañía
Zapata rimadora (CRT),Falla de herramientas y servicios de compañía
Probador de Copas,Falla de herramientas y servicios de compañía
Bombas,Fallas de equipo
BOP´s,Fallas de equipo
Brazo estibador,Fallas de equipo
Choke Manifold,Fallas de equipo
Control de sólidos,Fallas de equipo
ECS,Fallas de equipo
Equipo de Flotación,Fallas de equipo
Falla de rotaria,Fallas de equipo
Instalación del changuero,Fallas de equipo
Línea de flote,Fallas de equipo
Llaves de apriete,Fallas de equipo
Malacate,Fallas de equipo
Nivelación de equipo,Fallas de equipo
Otros,Fallas de equipo
Pez (por objeto caído al pozo),Fallas de equipo
Presas ,Fallas de equipo
Riser,Fallas de equipo
ROV,Fallas de equipo
Sistema de almacenamiento,Fallas de equipo
Sistema de circulacion,Fallas de equipo
Sistema de potencia,Fallas de equipo
Stand Pipe,Fallas de equipo
Top Drive,Fallas de equipo
Torre de perforación,Fallas de equipo
Tubería de perforación,Fallas de equipo
UAP,Fallas de equipo
Generadores,Fallas de equipo
Grua,Fallas de equipo
Corona / Mastil,Fallas de equipo
Motogenerador,Fallas de equipo
UPH,Fallas de equipo
Izadora,Fallas de equipo
Conflicto social,Esperas
Contingencia sanitaria,Esperas
EMS,Esperas
Libranza,Esperas
Mal clima,Esperas
Mantenimiento de equipo ,Esperas
Otros,Esperas
Permisos CNH/ASEA,Esperas
Personal de compañía,Esperas
Personal sindicalizado,Esperas
Suspención por contingencia operativa,Esperas
Suspensión ASEA/CNH,Esperas
Cambio de Programa,Esperas
Inestabilidad del Terreno,Esperas
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
